	Unnamed: 0.1	Unnamed: 0	Run_ID	Chl	TSM	a_440_cdom	T	S	theta	phi	Chl_comp_1	Chl_comp_2	Bp	Bm	a_440_p	a_440_m	b_440_p	b_440_m	400	412.5	442.5	490	510	560	620	665	673.75	681.25	708.75	753.75	761.25	764.38	767.5	778.75	865	885	900	940	1020
264	264	264	20348	1.5	0.2	0.112	0	25	70	15	1	2	0.008	0.004	0.056	0.012	0.482	0.109	0.0016198	0.0015952	0.0015707	0.0018079	0.0017045	0.0014895	0.0005059	0.0002906	0.0002619	0.0002485	0.0001555	4.54e-05	4.370000000000001e-05	4.29e-05	4.16e-05	4.39e-05	1.84e-05	1.46e-05	1.16e-05	3.2e-06	2.8e-06
268	268	268	20353	175.0	2.1	0.17	20	15	20	15	1	4	0.002	0.012	4.447	0.129	9.22	1.722	0.0004538	0.000399	0.0003492	0.0005394999999999	0.0006433	0.0013311	0.0008868999999999	0.0004249	0.0003253999999999	0.0003656	0.0012723	0.0003643	0.0003662	0.0003663	0.0003749	0.0004082	0.0001646	0.0001381	0.0001215	2.7e-05	2.56e-05
269	269	269	20354	170.0	0.02	0.262	25	35	60	60	1	4	0.002	0.001	24.104	0.001	9.055	0.016	4.75e-05	4.05e-05	3.2e-05	4.7e-05	5.45e-05	0.0001177	8.7e-05	4.18e-05	2.97e-05	3.27e-05	0.0005187999999999	0.0001524	0.0001555	0.0001558	0.0001614	0.0001737	7.03e-05	5.73e-05	5.22e-05	1.21e-05	1.06e-05
271	271	271	20356	1.2	0.3	0.228	5	35	30	15	1	2	0.009	0.01	0.126	0.018	0.42	0.1639999999999999	0.0005678	0.0006684999999999	0.0009337	0.0016309	0.0017704999999999	0.0019112	0.0006247	0.0003476	0.0003068	0.0002972	0.0001969	5.51e-05	5.44e-05	5.460000000000001e-05	5.539999999999999e-05	5.68e-05	2.4100000000000006e-05	2.1600000000000007e-05	1.59e-05	5.700000000000001e-06	3.700000000000001e-06
272	272	272	20359	1.7	0.5	0.166	25	20	10	30	1	4	0.008	0.01	0.162	0.031	0.521	0.41	0.0009542	0.001039	0.0012505	0.0020607	0.0022216	0.002721	0.0008353999999999	0.0004863	0.0004431999999999	0.000431	0.0002822	7.900000000000001e-05	8.120000000000001e-05	8.159999999999999e-05	8.18e-05	9.26e-05	3.58e-05	3.3e-05	2.81e-05	5.6e-06	5.5e-06
281	281	281	20370	1.6	0.7	0.266	0	10	60	30	1	5	0.008	0.012	0.148	0.043	0.502	0.478	0.0010355	0.0010447	0.0010958	0.0014536	0.0015369	0.0017373	0.0009096	0.0005489	0.0004984	0.000484	0.0003372	0.000104	9.88e-05	9.91e-05	9.89e-05	0.0001067	4.29e-05	3.8e-05	2.9600000000000005e-05	6.900000000000002e-06	6e-06
289	289	289	20381	4.4	0.8	0.15	25	20	30	0	1	3	0.006	0.01	0.158	0.049	0.94	0.6559999999999999	0.0014691	0.0015302	0.0017166	0.0025453	0.0028214	0.0035529	0.0011834	0.000682	0.0006212999999999	0.0006081	0.0004076	0.0001162	0.0001175	0.0001194	0.0001172	0.0001291	5.37e-05	4.55e-05	3.91e-05	9.2e-06	7.000000000000002e-06
293	293	293	20389	1.9	0.1	0.114	10	25	10	45	1	3	0.008	0.001	0.072	0.006	0.5579999999999999	0.041	0.0014839	0.001484	0.0015103	0.001854	0.0018199	0.0017152	0.0005167999999999	0.0002916	0.0002691	0.0002593	0.0001595	4.56e-05	4.55e-05	4.48e-05	4.09e-05	4.55e-05	1.7e-05	1.49e-05	1.5e-05	3.8e-06	2.7000000000000004e-06
296	296	296	20396	2.5	0.2	0.228	25	25	50	0	1	3	0.0069999999999999	0.003	0.146	0.012	0.662	0.1369999999999999	0.0005179	0.0006018	0.0008263999999999	0.0014168	0.0015934	0.0019055	0.0005392999999999	0.0003	0.000273	0.0002656	0.000172	4.72e-05	4.69e-05	4.820000000000001e-05	4.83e-05	5.39e-05	2.07e-05	1.8e-05	1.4800000000000002e-05	1.1e-06	3e-06
302	302	302	20408	0.28	0.02	0.234	20	25	20	60	1	4	0.012	0.001	0.028	0.001	0.17	0.022	0.0006149	0.0006501	0.0007537999999999	0.0009959	0.0009904999999999	0.0009437	0.0002911	0.0001676999999999	0.0001589	0.0001472	8.41e-05	2.31e-05	2.11e-05	2.08e-05	2.43e-05	2.69e-05	9e-06	6.900000000000002e-06	8.400000000000001e-06	5e-07	1.7e-06
308	308	308	20417	1.5	0.8	0.132	30	15	20	60	1	2	0.008	0.016	0.0819999999999999	0.049	0.482	0.4370000000000001	0.0015115	0.0016831	0.0021453	0.0034433	0.0035347	0.0037311	0.0011489	0.0006853	0.0006385	0.0006167	0.0003695	0.0001071	0.0001077	0.0001101	0.0001115	0.0001225	5.14e-05	4.06e-05	3.78e-05	8.400000000000001e-06	7.699999999999999e-06
317	317	317	20429	4.1	1.3	0.224	25	10	30	0	1	2	0.006	0.01	0.354	0.08	0.899	1.243	0.0011389	0.0011686	0.0012741	0.00195	0.0021873	0.0030599	0.0015238	0.0008352	0.000733	0.0007399	0.0005938	0.0001732	0.000172	0.0001716	0.000182	0.000196	7.929999999999999e-05	6.52e-05	5.76e-05	1.4e-05	1.19e-05
